วันที่,รางวัลที่ 1,2 ตัวบน,3 ตัวบน,2 ตัวล่าง,3 ตัวหน้า,3 ตัวล่าง
กันยายน ก.ย. 2550,499336,36,336,45,247 273,604 608
กันยายน ก.ย. 2550,331810,10,810,69,293 505,518 520
สิงหาคม ส.ค. 2550,476207,07,207,93,234 236,312 424
สิงหาคม ส.ค. 2550,429924,24,924,29,006 048,885 962
กรกฎาคม ก.ค. 2550,527384,84,384,77,105 183,334 947
กรกฎาคม ก.ค. 2550,565151,51,151,76,146 287,638 949
มิถุนายน มิ.ย 2550,393194,94,194,41,989 907,424 589
มิถุนายน มิ.ย 2550,836393,93,393,05,739 242,523 433
พฤษภาคม พ.ค. 2550,232897,97,897,25,924 858,751 585
พฤษภาคม พ.ค. 2550,430374,74,374,81,553 442,881 729
เมษายน เม.ย. 2550,405105,05,105,63,013 987,866 522
เมษายน เม.ย. 2550,622780,80,780,93,677 794,814 022
มีนาคม มี.ค. 2550,876763,63,763,85,191 001,906 350
มีนาคม มี.ค. 2550,742425,25,425,61,949 294,942 801
กุมภาพันธ์ ก.พ. 2550,277859,59,859,95,625 607,979 384
กุมภาพันธ์ ก.พ. 2550,769925,25,925,56,893 239,287 865
มกราคม ม.ค. 2550,838739,39,739,55,293 263,845 803
ธันวาคม ธ.ค. 2549,778584,84,584,07,811 403,164 971
ธันวาคม ธ.ค. 2549,147977,77,977,45,439 694,647 197
ธันวาคม ธ.ค. 2549,270052,52,052,12,621 462,091 236
พฤศจิกายน พ.ย. 2549,562856,56,856,94,508 307,680 347
พฤศจิกายน พ.ย. 2549,910957,57,957,29,647 739,137 905
ตุลาคม ต.ค. 2549,264825,25,825,58,903 092,358 832
ตุลาคม ต.ค. 2549,952335,35,335,92,007 804,879 951
กันยายน ก.ย. 2549,217948,48,948,41,916 290,864 121
กันยายน ก.ย. 2549,381761,61,761,44,600 693,093 626
สิงหาคม ส.ค. 2549,977486,86,486,91,221 305,230 103
สิงหาคม ส.ค. 2549,238654,54,654,88,847 005,817 487
กรกฎาคม ก.ค. 2549,512434,34,434,48,989 098,518 432
กรกฎาคม ก.ค. 2549,952890,90,890,65,126 183,017 839
มิถุนายน มิ.ย 2549,100935,35,935,17,381 410,595 250
มิถุนายน มิ.ย 2549,810850,50,850,99,526 149,382 664
พฤษภาคม พ.ค. 2549,100344,44,344,71,386 463,811 696
พฤษภาคม พ.ค. 2549,024554,54,554,27,006 438,082 117
เมษายน เม.ย. 2549,038564,64,564,49,210 442,769 877
เมษายน เม.ย. 2549,738365,65,365,95,064 955,301 522
มีนาคม มี.ค. 2549,936177,77,177,30,486 185,205 320
มีนาคม มี.ค. 2549,582473,73,473,43,586 801,108 914
กุมภาพันธ์ ก.พ. 2549,317009,09,009,66,784 240,135 280
กุมภาพันธ์ ก.พ. 2549,412729,29,729,87,915 720,149 384
มกราคม ม.ค. 2549,432747,47,747,79,222 789,965 200
ธันวาคม ธ.ค. 2548,492955,55,955,94,066 308,742 150
ธันวาคม ธ.ค. 2548,449565,65,565,86,802 162,958 994
ธันวาคม ธ.ค. 2548,388551,51,551,17,072 764,027 770
พฤศจิกายน พ.ย. 2548,742518,18,518,80,502 741,887 137
พฤศจิกายน พ.ย. 2548,970577,77,577,98,171 375,009 216
ตุลาคม ต.ค. 2548,041072,72,072,71,346 913,410 269
ตุลาคม ต.ค. 2548,766482,82,482,24,766 551,792 275
กันยายน ก.ย. 2548,214768,68,768,10,498 282,124 057
กันยายน ก.ย. 2548,316933,33,933,17,123 338,969 047
สิงหาคม ส.ค. 2548,475560,60,560,68,272 844,103 915
สิงหาคม ส.ค. 2548,961633,33,633,26,055 152,386 272
กรกฎาคม ก.ค. 2548,477452,52,452,13,757 150,460 642
กรกฎาคม ก.ค. 2548,009554,54,554,87,798 427,641 244
มิถุนายน มิ.ย 2548,793070,70,070,44,806 021,074 605
มิถุนายน มิ.ย 2548,176893,93,893,35,176 579,616 405
พฤษภาคม พ.ค. 2548,867134,34,134,97,376 648,465 693
พฤษภาคม พ.ค. 2548,772467,67,467,43,017 383,815 073
เมษายน เม.ย. 2548,119327,27,327,10,081 968,346 627
เมษายน เม.ย. 2548,815753,53,753,69,482 381,224 807
มีนาคม มี.ค. 2548,196345,45,345,03,073 601,783 394
มีนาคม มี.ค. 2548,800751,51,751,93,681 714,998 669
กุมภาพันธ์ ก.พ. 2548,816422,22,422,53,086 356,192 065
กุมภาพันธ์ ก.พ. 2548,540054,54,054,34,389 180,863 571
มกราคม ม.ค. 2548,335022,22,022,08,689 291,039 479
ธันวาคม ธ.ค. 2547,168858,58,858,28,221 603,627 179
ธันวาคม ธ.ค. 2547,479372,72,372,17,288 075,999 183
ธันวาคม ธ.ค. 2547,504658,58,658,69,139 014,984 691
พฤศจิกายน พ.ย. 2547,754622,22,622,64,918 019,744 904
พฤศจิกายน พ.ย. 2547,185966,66,966,23,862 137,745 661
ตุลาคม ต.ค. 2547,355858,58,858,62,162 200,438 890
ตุลาคม ต.ค. 2547,110866,66,866,66,200 547,781 806
กันยายน ก.ย. 2547,923373,73,373,59,295 888,774 867
กันยายน ก.ย. 2547,096597,97,597,70,709 929,014 456
สิงหาคม ส.ค. 2547,335921,21,921,59,114 082,559 288
สิงหาคม ส.ค. 2547,868990,90,990,45,956 811,510 377
กรกฎาคม ก.ค. 2547,205588,88,588,25,696 726,461 154
กรกฎาคม ก.ค. 2547,312471,71,471,66,313 598,664 261
มิถุนายน มิ.ย 2547,208713,13,713,87,414 911,459 986
มิถุนายน มิ.ย 2547,614144,44,144,72,990 776,425 992
