วันที่,รางวัลที่ 1,2 ตัวบน,3 ตัวบน,2 ตัวล่าง,3 ตัวหน้า,3 ตัวล่าง
กันยายน ก.ย. 2563,244083,83,083,57,127 220,623 853
กันยายน ก.ย. 2563,999997,97,997,98,636 725,342 957
สิงหาคม ส.ค. 2563,945811,11,811,88,614 712,364 733
สิงหาคม ส.ค. 2563,569391,91,391,92,575 931,578 809
กรกฎาคม ก.ค. 2563,873286,86,286,53,510 533,494 682
กรกฎาคม ก.ค. 2563,347258,58,258,83,095 362,094 307
มิถุนายน มิ.ย 2563,516967,67,967,64,876 882,565 625
มิถุนายน มิ.ย 2563,831567,67,567,24,264 489,562 582
เมษายน เม.ย. 2563,051095,95,095,22,285 430,191 364
มีนาคม มี.ค. 2563,503446,46,446,77,258 726,404 661
มีนาคม มี.ค. 2563,875938,38,938,98,294 328,597 780
กุมภาพันธ์ ก.พ. 2563,781403,03,403,94,515 952,030 918
กุมภาพันธ์ ก.พ. 2563,589227,27,227,06,259 552,375 927
มกราคม ม.ค. 2563,491774,74,774,68,004 132,379 595
ธันวาคม ธ.ค. 2562,510541,41,541,81,116 382,140 250
ธันวาคม ธ.ค. 2562,529924,24,924,97,043 138,555 665
ธันวาคม ธ.ค. 2562,453522,22,522,81,261 617,013 457
พฤศจิกายน พ.ย. 2562,017223,23,223,32,164 640,085 194
พฤศจิกายน พ.ย. 2562,967375,75,375,79,323 806,021 206
ตุลาคม ต.ค. 2562,812564,64,564,15,255 625,132 598
ตุลาคม ต.ค. 2562,691197,97,197,59,392 920,606 797
กันยายน ก.ย. 2562,340388,88,388,85,733 947,925 939
กันยายน ก.ย. 2562,798787,87,787,20,210 847,274 439
สิงหาคม ส.ค. 2562,775476,76,476,89,149 912,563 580
สิงหาคม ส.ค. 2562,387006,06,006,58,135 983,562 795
กรกฎาคม ก.ค. 2562,369765,65,765,88,355 901,113 556
กรกฎาคม ก.ค. 2562,943647,47,647,86,239 864,006 375
มิถุนายน มิ.ย 2562,174055,55,055,29,625 884,127 800
มิถุนายน มิ.ย 2562,516461,61,461,46,589 713,215 560
พฤษภาคม พ.ค. 2562,962526,26,526,71,669 949,018 828
พฤษภาคม พ.ค. 2562,061324,24,324,25,043 476,374 699
เมษายน เม.ย. 2562,570331,31,331,23,512 930,966 968
เมษายน เม.ย. 2562,109767,67,767,52,888 959,403 975
มีนาคม มี.ค. 2562,724628,28,628,64,148 883,154 877
มีนาคม มี.ค. 2562,345650,50,650,65,137 999,830 837
กุมภาพันธ์ ก.พ. 2562,074824,24,824,56,881 910,612 879
กุมภาพันธ์ ก.พ. 2562,967134,34,134,04,643 779,197 948
มกราคม ม.ค. 2562,197079,79,079,65,206 412,127 660
ธันวาคม ธ.ค. 2561,735867,67,867,02,031 913,701 884
ธันวาคม ธ.ค. 2561,356564,64,564,62,480 948,297 369
ธันวาคม ธ.ค. 2561,021840,40,840,67,045 307,561 988
พฤศจิกายน พ.ย. 2561,989903,03,903,16,471 930,140 876
พฤศจิกายน พ.ย. 2561,149840,40,840,58,384 576,046 509
ตุลาคม ต.ค. 2561,200515,15,515,93,186 392,192 212
ตุลาคม ต.ค. 2561,452643,43,643,99,594 726,561 810
กันยายน ก.ย. 2561,149760,60,760,79,323 539,155 297
กันยายน ก.ย. 2561,734510,10,510,26,464 512,097 202
สิงหาคม ส.ค. 2561,586117,17,117,10,340 670,591 815
สิงหาคม ส.ค. 2561,386602,02,602,78,832 903,549 726
กรกฎาคม ก.ค. 2561,596324,24,324,27,403 530,138 362
กรกฎาคม ก.ค. 2561,963623,23,623,83,429 901,210 217
มิถุนายน มิ.ย 2561,223131,31,131,46,432 507,132 868
มิถุนายน มิ.ย 2561,988117,17,117,95,310 553,248 650
พฤษภาคม พ.ค. 2561,075629,29,629,20,130 357,047 506
พฤษภาคม พ.ค. 2561,248038,38,038,85,527 980,225 602
เมษายน เม.ย. 2561,739229,29,229,60,273 654,076 526
เมษายน เม.ย. 2561,412073,73,073,85,131 787,638 924
มีนาคม มี.ค. 2561,218559,59,559,82,064 720,205 489
มีนาคม มี.ค. 2561,759415,15,415,29,318 870,589 723
กุมภาพันธ์ ก.พ. 2561,309915,15,915,39,007 388,230 748
กุมภาพันธ์ ก.พ. 2561,026853,53,853,31,106 947,181 519
มกราคม ม.ค. 2561,203823,23,823,50,624 799,236 397
ธันวาคม ธ.ค. 2560,911234,34,234,98,373 495,504 953
ธันวาคม ธ.ค. 2560,955596,96,596,89,616 836,290 938
ธันวาคม ธ.ค. 2560,451005,05,005,33,303 626,257 601
พฤศจิกายน พ.ย. 2560,292391,91,391,98,831 961,477 628
พฤศจิกายน พ.ย. 2560,533726,26,726,85,165 425,036 485
ตุลาคม ต.ค. 2560,413494,94,494,86,180 971,128 287
ตุลาคม ต.ค. 2560,880714,14,714,52,611 726,462 952
กันยายน ก.ย. 2560,170143,43,143,71,172 647,340 388
กันยายน ก.ย. 2560,143224,24,224,65,345 679,195 278
สิงหาคม ส.ค. 2560,715431,31,431,37,115 302,253 945
สิงหาคม ส.ค. 2560,756519,19,519,36,061 386,787 989
กรกฎาคม ก.ค. 2560,820327,27,327,87,584 835,390 823
กรกฎาคม ก.ค. 2560,112360,60,360,26,226 489,005 688
มิถุนายน มิ.ย 2560,943142,42,142,47,626 878,373 740
มิถุนายน มิ.ย 2560,053630,30,630,61,121 218,581 881
พฤษภาคม พ.ค. 2560,454891,91,891,53,008 396,490 603
พฤษภาคม พ.ค. 2560,008656,56,656,35,573 949,773 923
เมษายน เม.ย. 2560,816729,29,729,40,766 973,241 807
เมษายน เม.ย. 2560,392785,85,785,80,020 057,500 709
มีนาคม มี.ค. 2560,273863,63,863,92,324 918,694 941
มีนาคม มี.ค. 2560,978453,53,453,78,450 560,052 577
กุมภาพันธ์ ก.พ. 2560,229116,16,116,14,128 464,375 953
กุมภาพันธ์ ก.พ. 2560,054672,72,672,42,066 807,426 628
มกราคม ม.ค. 2560,145157,57,157,25,511 663,516 836
ธันวาคม ธ.ค. 2559,377712,12,712,46,304 890,477 769
ธันวาคม ธ.ค. 2559,435286,86,286,35,366 596,199 716
ธันวาคม ธ.ค. 2559,086069,69,069,77,513 873,148 450
พฤศจิกายน พ.ย. 2559,858383,83,383,44,040 682,558 570
พฤศจิกายน พ.ย. 2559,785438,38,438,86,824 976,038 752
ตุลาคม ต.ค. 2559,571947,47,947,98,692 885,032 587
ตุลาคม ต.ค. 2559,887102,02,102,33,194 280,017 458
กันยายน ก.ย. 2559,240650,50,650,42,493 583,043 160
กันยายน ก.ย. 2559,638684,84,684,62,334 335,630 669
สิงหาคม ส.ค. 2559,254004,04,004,33,366 966,596 631
สิงหาคม ส.ค. 2559,272932,32,932,57,538 983,472 871
กรกฎาคม ก.ค. 2559,449764,64,764,55,552 734,158 925
กรกฎาคม ก.ค. 2559,082460,60,460,53,169 609,173 302
มิถุนายน มิ.ย 2559,073816,16,816,79,251 804,321 749
มิถุนายน มิ.ย 2559,511825,25,825,14,111 775,880 937
พฤษภาคม พ.ค. 2559,141737,37,737,98,382 975,087 268
พฤษภาคม พ.ค. 2559,399459,59,459,02,238 403,046 671
เมษายน เม.ย. 2559,221609,09,609,87,008 228,507 523
เมษายน เม.ย. 2559,066720,20,720,92,390 546,285 852
มีนาคม มี.ค. 2559,134918,18,918,32,855 877,004 973
มีนาคม มี.ค. 2559,439686,86,686,06,426 530,155 743
กุมภาพันธ์ ก.พ. 2559,356364,64,364,98,312 699,309 535
กุมภาพันธ์ ก.พ. 2559,927800,00,800,09,625 999,054 076
มกราคม ม.ค. 2559,304371,71,371,50,031 532,743 786
ธันวาคม ธ.ค. 2558,008217,17,217,02,246 264,596 895
ธันวาคม ธ.ค. 2558,930255,55,255,08,140 250,094 638
ธันวาคม ธ.ค. 2558,915350,50,350,78,238 181,714 175
พฤศจิกายน พ.ย. 2558,795283,83,283,03,241 028,643 802
พฤศจิกายน พ.ย. 2558,361211,11,211,45,106 757,166 473
ตุลาคม ต.ค. 2558,968630,30,630,62,457 134,412 054
ตุลาคม ต.ค. 2558,594825,25,825,07,175 918,440 799
กันยายน ก.ย. 2558,743148,48,148,06,435 209,375 084
กันยายน ก.ย. 2558,021094,94,094,89,260 403,068 819
สิงหาคม ส.ค. 2558,033363,63,363,40,781 227,624 648
สิงหาคม ส.ค. 2558,518677,77,677,53,333 598,648 889
กรกฎาคม ก.ค. 2558,121507,07,507,49,761 461,830 294
กรกฎาคม ก.ค. 2558,759049,49,049,26,565 814,081 567
มิถุนายน มิ.ย 2558,644742,42,742,05,429 253,386 532
มิถุนายน มิ.ย 2558,388881,81,881,65,314 700,876 969
พฤษภาคม พ.ค. 2558,011421,21,421,38,799 484,851 928
พฤษภาคม พ.ค. 2558,543466,66,466,30,818 163,366 195
เมษายน เม.ย. 2558,506260,60,260,38,101 164,495 973
เมษายน เม.ย. 2558,605704,04,704,70,558 962,557 861
มีนาคม มี.ค. 2558,048151,51,151,92,339 622,623 757
มีนาคม มี.ค. 2558,240237,37,237,34,498 031,857 008
กุมภาพันธ์ ก.พ. 2558,001864,64,864,90,843 103,825 392
กุมภาพันธ์ ก.พ. 2558,155537,37,537,79,083 286,813 008
มกราคม ม.ค. 2558,244351,51,351,74,068 398,595 877
ธันวาคม ธ.ค. 2557,461704,04,704,57,853 982,535 950
ธันวาคม ธ.ค. 2557,948354,54,354,90,080 763,775 901
ธันวาคม ธ.ค. 2557,480449,49,449,11,820 380,580 161
พฤศจิกายน พ.ย. 2557,479804,04,804,25,179 422,480 709
พฤศจิกายน พ.ย. 2557,206608,08,608,44,607 203,855 979
ตุลาคม ต.ค. 2557,656409,09,409,94,647 784,848 910
ตุลาคม ต.ค. 2557,375615,15,615,44,251 086,159 520
กันยายน ก.ย. 2557,772269,69,269,35,112 257,342 790
กันยายน ก.ย. 2557,856763,63,763,22,308 912,477 490
สิงหาคม ส.ค. 2557,662842,42,842,91,639 912,187 633
สิงหาคม ส.ค. 2557,766391,91,391,82,349 576,623 637
กรกฎาคม ก.ค. 2557,468728,28,728,45,104 944,117 205
กรกฎาคม ก.ค. 2557,378477,77,477,39,123 271,441 864
มิถุนายน มิ.ย 2557,673920,20,920,95,158 140,639 576
มิถุนายน มิ.ย 2557,781198,98,198,18,160 324,409 636
พฤษภาคม พ.ค. 2557,087523,23,523,20,150 505,112 246
พฤษภาคม พ.ค. 2557,103297,97,297,52,143 158,673 797
เมษายน เม.ย. 2557,153406,06,406,26,344 013,355 634
เมษายน เม.ย. 2557,028866,66,866,95,186 499,835 938
มีนาคม มี.ค. 2557,531404,04,404,79,250 305,400 904
มีนาคม มี.ค. 2557,906318,18,318,35,116 537,753 798
กุมภาพันธ์ ก.พ. 2557,384245,45,245,01,397 530,074 521
กุมภาพันธ์ ก.พ. 2557,180149,49,149,95,406 492,888 976
มกราคม ม.ค. 2557,306902,02,902,52,242 077,149 510
ธันวาคม ธ.ค. 2556,561072,72,072,48,513 750,503 275
ธันวาคม ธ.ค. 2556,341767,67,767,79,111 228,742 826
ธันวาคม ธ.ค. 2556,168795,95,795,27,734 766,074 980
พฤศจิกายน พ.ย. 2556,806925,25,925,28,069 304,672 753
พฤศจิกายน พ.ย. 2556,739804,04,804,47,502 020,256 173
ตุลาคม ต.ค. 2556,963289,89,289,60,402 529,876 952
ตุลาคม ต.ค. 2556,647882,82,882,14,576 324,650 028
กันยายน ก.ย. 2556,562684,84,684,63,056 235,574 754
กันยายน ก.ย. 2556,548123,23,123,05,281 570,800 045
สิงหาคม ส.ค. 2556,321327,27,327,20,417 945,448 201
สิงหาคม ส.ค. 2556,356435,35,435,82,880 451,718 329
กรกฎาคม ก.ค. 2556,566996,96,996,86,352 210,584 526
กรกฎาคม ก.ค. 2556,646905,05,905,51,075 284,903 904
มิถุนายน มิ.ย 2556,289673,73,673,69,390 098,114 502
มิถุนายน มิ.ย 2556,935489,89,489,90,480 713,716 768
พฤษภาคม พ.ค. 2556,687125,25,125,56,034 261,390 945
พฤษภาคม พ.ค. 2556,603458,58,458,07,272 359,516 830
เมษายน เม.ย. 2556,843846,46,846,86,834 862,906 828
เมษายน เม.ย. 2556,571688,88,688,53,170 430,670 725
มีนาคม มี.ค. 2556,968433,33,433,52,860 959,175 529
มีนาคม มี.ค. 2556,976241,41,241,37,972 721,133 775
กุมภาพันธ์ ก.พ. 2556,368257,57,257,09,657 708,109 386
กุมภาพันธ์ ก.พ. 2556,565566,66,566,66,452 695,641 782
มกราคม ม.ค. 2556,820981,81,981,08,555 196,374 334
ธันวาคม ธ.ค. 2555,302358,58,358,00,589 864,126 832
ธันวาคม ธ.ค. 2555,529524,24,524,72,734 745,778 008
ธันวาคม ธ.ค. 2555,110443,43,443,43,434 553,489 303
พฤศจิกายน พ.ย. 2555,639500,00,500,15,576 560,804 627
พฤศจิกายน พ.ย. 2555,524694,94,694,63,217 188,285 338
ตุลาคม ต.ค. 2555,281343,43,343,28,152 089,396 868
ตุลาคม ต.ค. 2555,124025,25,025,58,940 554,291 873
กันยายน ก.ย. 2555,540143,43,143,79,242 752,123 770
กันยายน ก.ย. 2555,329997,97,997,07,736 598,148 639
สิงหาคม ส.ค. 2555,683877,77,877,28,032 612,775 730
สิงหาคม ส.ค. 2555,895590,90,590,50,820 599,796 745
กรกฎาคม ก.ค. 2555,904050,50,050,11,897 224,159 042
กรกฎาคม ก.ค. 2555,915900,00,900,60,715 656,530 611
มิถุนายน มิ.ย 2555,159373,73,373,51,238 790,479 547
มิถุนายน มิ.ย 2555,882727,27,727,38,606 576,895 399
พฤษภาคม พ.ค. 2555,814418,18,418,31,504 309,902 101
พฤษภาคม พ.ค. 2555,889501,01,501,29,589 597,426 468
เมษายน เม.ย. 2555,583470,70,470,62,216 088,722 754
เมษายน เม.ย. 2555,257562,62,562,69,581 074,616 332
มีนาคม มี.ค. 2555,607064,64,064,08,606 333,573 350
มีนาคม มี.ค. 2555,222518,18,518,79,295 135,711 199
กุมภาพันธ์ ก.พ. 2555,648684,84,684,18,906 214,111 420
กุมภาพันธ์ ก.พ. 2555,320605,05,605,32,749 426,498 598
มกราคม ม.ค. 2555,451445,45,445,81,328 150,941 639
ธันวาคม ธ.ค. 2554,526402,02,402,65,168 026,541 597
ธันวาคม ธ.ค. 2554,884178,78,178,21,784 235,651 295
ธันวาคม ธ.ค. 2554,408147,47,147,02,922 253,857 739
พฤศจิกายน พ.ย. 2554,997777,77,777,57,425 551,406 993
